0,What is the base retention schedule in Doc Central,*,*,"The base retention in Doc Central is 3 years from the document version's creation date.  Note the word ""version"".  If you have 10 versions and 4 of them are older than 3 years, those would be deleted and the remaining 6 would be kept until their 3 years are up.  Certain folder structures (i.e. Engineering, Cisco Services) have longer base retention policies.",a-custom-entry.aiml
0,What are some of the longer retention policies,*,*,Longer retention schedules are applied for Engineering and Cisco Services documents. Engineering is 25 years.  Cisco Services can vary but is 15 - 25 years.  If you place new documents into any of these folders they will inherit the folders retention policy.,a-custom-entry.aiml
0,What are some of the longer retention policies,*,*,Longer retention schedules are applied for Engineering and Cisco Services documents. Engineering is 25 years.  Cisco Services can vary but is 15 - 25 years.  If you place new documents into any of these folders they will inherit the folders retention policy.,a-custom-entry.aiml
0,How long Records retain in system,*,*,Please reach out to ERIM team (erim_bus_team@cisco.com),a-custom-entry.aiml
0,How long Non-Records retain in system,*,*,RECORDS must be retained for the period specified in the Record Retention Schedule,a-custom-entry.aiml
0,How do I mark a document or a folder as record ?,*,*,"NON-RECORDS should be regularly deleted or disposed of, regardless of media (paper, electronic, etc.) as per Cisco's Information Disposition Policy",a-custom-entry.aiml
0,What kind of content we can declare as records,*,*,"Please see the link below for step by step instructions for applying retention (a.k.a. marking a document a record) in Doc Central. Please don't hesitate to email us @erim_bus_team@cisco.com if you have any questions. 
https://cisco.jiveon.com/docs/DOC-1395309",a-custom-entry.aiml
0,Examples of Records,*,*,"Contracts, contract amendments,Personnel files, payroll records,Tax returns, backup documentation,Invoices, general ledger, budgets,Database data and reports,Web pages of policies, procedures,Project documentation,Software source code, patents,Customer files,Product documentation, Quality workflows,Emails containing mutual agreements",a-custom-entry.aiml
0,Examples of Non Records,*,*,"Contracts, contract amendments,Personnel files, payroll records,Tax returns, backup documentation,Invoices, general ledger, budgets,Database data and reports,Web pages of policies, procedures,Project documentation,Software source code, patents,Customer files,Product documentation, Quality workflows,Emails containing mutual agreements",a-custom-entry.aiml
0,What is Records Management in Doc Central,*,*,"Duplicate, reference, or convenience copies of business records (the original is the record, not the copies)
Preliminary rough drafts
Library material, printed publications, or blank forms.
Personal information such as:
Announcements or invitations
Copies of your performance reviews or other personnel records
Workbooks and certificates for training you have completed
Personal emails",a-custom-entry.aiml
0,What is Purge in Doc Central,*,*,"An organized, pro-active approach to records management helps assure we don’t fall victim to the pitfalls that companies can face when they don’t invest in their records management & governance controls. These pitfalls include issues such as problems with audits (Tax, ISO,S-OX,etc) or legal discovery.
Since there are multiple Digital Platforms at Cisco, Doc Central has been identified as the only approved repository for long term storage of critical Cisco information. Doc Central has automated features to ensure content is kept and deleted according to Cisco’s Records Retention Schedule, so that it meets legal and regulatory requirements.",a-custom-entry.aiml
0,RETENTION SCHEDULES,*,*,"Purge is being implemented to comply with Cisco policy as well as manage the growth of Doc Central by removing documents that no longer have business value and are not required to be retained for legal or regulatory purpose per the Records Management Policy and the Electronic Information Disposition Policy.
Documents will be permanently deleted 3 years from their creation date unless they are marked as a records or placed on legal hold. The purge applies to both current and previous versions of documents. Each version will have its own deletion date based on its creation date.",a-custom-entry.aiml
0,ERIM Policies and Process,*,*,"The Enterprise Records Retention Schedule (ERRS) is a comprehensive list of record categories, indicating the length of time a record is to be retained.",a-custom-entry.aiml
0,Who is responsible for Records Management in Doc Central,*,*,"Please click on the below link for detailed information on ERIM Policies and Process : 
https://cisco.jiveon.com/groups/enterprise-records-and-information-management-erim/projects/policy-process",a-custom-entry.aiml
0,Why is Cisco doing Purge,*,*,"All Cisco employees and contractors are responsible to ensure their records meet the legal and regulatory compliance requirements which are part of the Records Management Policy 
Each team should identify specific individuals as Business Retention Managers for their team folders. These individuals will be able to create and manage records management rules and mark folders as records. This ensures that there is consistency among rules that are being created and an oversight among the team on what content is being marked as records.
To get started as a Business Retention Manager, email  doc_central_biz_retention_manager@cisco.com and you will receive a short training video. Once you confirm you have reviewed the video, you will be added as a Business Retention Manager.",a-custom-entry.aiml
0,Do I need Records Management on my information,*,*,To comply with Cisco policy as well as manage the growth of Doc Central by removing documents that no longer have business value and are not required to be retained for legal or regulatory purpose per the Records Management Policy and the Electronic Information Disposition Policy.,a-custom-entry.aiml
0,What does retention mean,*,*,"Records Management plays an important role in keeping your team’s content compliant with policy, relevant, up to date and easy to find. However, not all information qualifies as records. Please review What is a Record to identify which folders in your organization should be managed as records.",a-custom-entry.aiml
0,How can I understand what are my organization's records under Cisco's policy,*,*,"Retention means there is a responsibility to ensure that the information is not deleted until the required time period is met. The time period to retain information is dictated by Cisco's Enterprise Records and Retention Schedule. In Doc Central, retention is applied by the Records Management functionality using Cisco's Enterprise Records and Retention Schedule.",a-custom-entry.aiml
0,How Records Management works in Doc Central,*,*,Please review What is a Record to identify which content in your organization should be managed as records.,a-custom-entry.aiml
0, How do I implement Records Management in my folders ,*,*,"Records Management works at a folder level in Doc Central to identify and keep important business documents for the required amount of time. We have simplified the process by which your team can identify applicable information categories (such as Finance, Marketing, Engineering,etc.) at a folder level and the system will ensure the documents are retained and deleted according to policy.",a-custom-entry.aiml
